SEQ,TIMESTAMP,BP10,BSize10,BP9,BSize9,BP8,BSize8,BP7,BSize7,BP6,BSize6,BP5,BSize5,BP4,BSize4,BP3,BSize3,BP2,BSize2,BP1,BSize1,AP1,ASize1,AP2,ASize2,AP3,ASize3,AP4,ASize4,AP5,ASize5,AP6,ASize6,AP7,ASize7,AP8,ASize8,AP9,ASize9,AP10,ASize10
28,2014-03-20 09:30:01.035,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,47600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
29,2014-03-20 09:30:01.073,*,*,*,*,*,*,*,*,75.9,46400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
30,2014-03-20 09:30:01.074,*,*,*,*,75.8,60000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
31,2014-03-20 09:30:01.075,75.7,33200,75.75,24000,75.8,60000,75.85,42400,75.9,46400,75.95,12400,76,209200,76.05,8800,76.1,17600,76.15,5600,76.25,47600,76.3,58000,76.35,30400,76.4,80000,76.45,62000,76.5,129600,76.55,10000,76.6,10000,76.7,120000,NA,NA
32,2014-03-20 09:30:01.075,*,*,*,*,*,*,*,*,*,*,75.95,2400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
33,2014-03-20 09:30:01.081,75.7,33200,75.75,24000,75.8,60000,75.85,42400,75.9,46400,75.95,2400,76,209200,76.05,8800,76.1,17600,76.15,5600,76.25,47600,76.3,58000,76.35,30400,76.4,80000,76.45,62000,76.5,129600,76.55,10000,76.7,120000,NA,NA,NA,NA
34,2014-03-20 09:30:01.085,*,*,75.75,18800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
35,2014-03-20 09:30:01.098,*,*,*,*,*,*,75.85,32400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
36,2014-03-20 09:30:01.113,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.05,8400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
37,2014-03-20 09:30:01.134,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.7,110000,*,*,*,*
38,2014-03-20 09:30:01.135,75.7,33200,75.75,18800,75.8,60000,75.85,32400,75.9,46400,75.95,2400,76,209200,76.05,8400,76.1,17600,76.15,5600,76.25,47600,76.3,58000,76.35,30400,76.4,80000,76.45,62000,76.5,129600,76.7,110000,NA,NA,NA,NA,NA,NA
39,2014-03-20 09:30:01.228,*,*,*,*,75.8,50000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
40,2014-03-20 09:30:01.229,*,*,75.75,8800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
41,2014-03-20 09:30:01.237,*,*,*,*,*,*,75.85,22400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
42,2014-03-20 09:30:01.237,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.3,55600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
43,2014-03-20 09:30:01.238,75.7,23200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
44,2014-03-20 09:30:01.239,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.7,1.00E+05,*,*,*,*,*,*
45,2014-03-20 09:30:01.275,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.15,6400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
46,2014-03-20 09:30:01.424,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.3,50400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
47,2014-03-20 09:30:01.439,75.75,8800,75.8,50000,75.85,22400,75.9,46400,75.95,2400,76,209200,76.05,8400,76.1,17600,76.15,6400,76.2,32400,76.25,47600,76.3,50400,76.35,30400,76.4,80000,76.45,62000,76.5,129600,76.7,1.00E+05,NA,NA,NA,NA,NA,NA
48,2014-03-20 09:30:01.533,*,*,*,*,*,*,75.9,48000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
49,2014-03-20 09:30:01.614,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,51200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
50,2014-03-20 09:30:01.946,75.75,38800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
51,2014-03-20 09:30:02.014,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.1,18000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
52,2014-03-20 09:30:02.104,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,151200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
53,2014-03-20 09:30:02.129,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.4,83200,*,*,*,*,*,*,*,*,*,*,*,*
54,2014-03-20 09:30:02.197,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.2,26800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
55,2014-03-20 09:30:02.252,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,153200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
56,2014-03-20 09:30:02.254,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.35,70400,*,*,*,*,*,*,*,*,*,*,*,*,*,*
57,2014-03-20 09:30:02.255,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.2,24000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
58,2014-03-20 09:30:02.302,*,*,*,*,*,*,*,*,*,*,*,*,76.05,8800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
59,2014-03-20 09:30:02.324,*,*,*,*,*,*,*,*,*,*,76,209600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
