SEQ,TIMESTAMP,BP10,BSize10,BP9,BSize9,BP8,BSize8,BP7,BSize7,BP6,BSize6,BP5,BSize5,BP4,BSize4,BP3,BSize3,BP2,BSize2,BP1,BSize1,AP1,ASize1,AP2,ASize2,AP3,ASize3,AP4,ASize4,AP5,ASize5,AP6,ASize6,AP7,ASize7,AP8,ASize8,AP9,ASize9,AP10,ASize10
6643,2014-03-20 10:23:02.033,75.7,43200,75.75,58800,75.8,215600,75.85,56800,75.9,114000,75.95,24800,76,961600,76.05,172400,76.1,190400,76.15,400,76.2,43600,76.25,120800,76.3,102000,76.35,129600,76.4,99200,76.45,68000,76.5,87600,76.55,21600,76.6,26000,NA,NA
6644,2014-03-20 10:23:02.046,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.1,189200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6645,2014-03-20 10:23:02.046,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.15,1600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6646,2014-03-20 10:23:02.052,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.2,42800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6647,2014-03-20 10:23:02.062,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.05,162400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6648,2014-03-20 10:23:02.118,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.1,188800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6649,2014-03-20 10:23:02.145,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.1,171200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6650,2014-03-20 10:23:02.145,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.15,2400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6651,2014-03-20 10:23:02.209,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,143200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6652,2014-03-20 10:23:02.209,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,145200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6653,2014-03-20 10:23:02.209,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,152800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6654,2014-03-20 10:23:02.226,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.1,170400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6655,2014-03-20 10:23:02.226,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.15,3200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6656,2014-03-20 10:23:02.232,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,153600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6657,2014-03-20 10:23:02.232,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,154400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6658,2014-03-20 10:23:02.255,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.15,3600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6659,2014-03-20 10:23:02.257,75.65,30000,75.7,43200,75.75,58800,75.8,215600,75.85,56800,75.9,114000,75.95,24800,76,961600,76.05,162400,76.1,170400,76.2,42800,76.25,154400,76.3,102000,76.35,129600,76.4,99200,76.45,68000,76.5,87600,76.55,21600,76.6,26000,NA,NA
6660,2014-03-20 10:23:02.258,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,132000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6661,2014-03-20 10:23:02.258,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,131200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6662,2014-03-20 10:23:02.258,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.05,171200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6663,2014-03-20 10:23:02.258,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.05,179600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6664,2014-03-20 10:23:02.259,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,130400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6665,2014-03-20 10:23:02.274,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.1,170000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6666,2014-03-20 10:23:02.285,75.7,43200,75.75,58800,75.8,215600,75.85,56800,75.9,114000,75.95,24800,76,961600,76.05,179600,76.1,170000,76.15,16400,76.2,42800,76.25,130400,76.3,102000,76.35,129600,76.4,99200,76.45,68000,76.5,87600,76.55,21600,76.6,26000,NA,NA
6667,2014-03-20 10:23:02.335,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.05,170800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6668,2014-03-20 10:23:02.335,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.05,162400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6669,2014-03-20 10:23:02.335,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,139200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6670,2014-03-20 10:23:02.335,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,144000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6671,2014-03-20 10:23:02.335,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,153600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6672,2014-03-20 10:23:02.335,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,146000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6673,2014-03-20 10:23:02.336,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,144000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6674,2014-03-20 10:23:02.337,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,139200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6675,2014-03-20 10:23:02.337,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,130400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6676,2014-03-20 10:23:02.338,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,120800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6677,2014-03-20 10:23:02.353,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.2,44800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6678,2014-03-20 10:23:03.345,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.2,46800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6679,2014-03-20 10:23:04.049,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.1,169600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6680,2014-03-20 10:23:04.049,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.15,16800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6681,2014-03-20 10:23:05.348,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.2,49200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6682,2014-03-20 10:23:05.349,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.2,51200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6683,2014-03-20 10:23:05.353,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.2,55600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6684,2014-03-20 10:23:05.354,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.2,57600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6685,2014-03-20 10:23:05.367,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.2,59600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6686,2014-03-20 10:23:06.040,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.05,159600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6687,2014-03-20 10:23:06.090,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.15,14800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6688,2014-03-20 10:23:06.104,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.15,14400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6689,2014-03-20 10:23:07.139,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.05,156000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6690,2014-03-20 10:23:07.139,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.1,173200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6691,2014-03-20 10:23:07.260,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.15,14800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6692,2014-03-20 10:23:07.490,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.1,170800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6693,2014-03-20 10:23:07.492,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.1,165600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6694,2014-03-20 10:23:07.492,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.1,160800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6695,2014-03-20 10:23:07.492,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.1,156000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6696,2014-03-20 10:23:07.706,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.2,63200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6697,2014-03-20 10:23:10.467,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.15,30800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6698,2014-03-20 10:23:10.649,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.1,155600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6699,2014-03-20 10:23:10.649,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.15,31200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6700,2014-03-20 10:23:11.727,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.15,31600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6701,2014-03-20 10:23:11.728,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.2,64000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6702,2014-03-20 10:23:12.493,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.1,156000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6703,2014-03-20 10:23:12.542,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,127200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6704,2014-03-20 10:23:12.542,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,136000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6705,2014-03-20 10:23:12.542,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,138000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6706,2014-03-20 10:23:12.754,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.15,33600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6707,2014-03-20 10:23:12.845,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,129200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6708,2014-03-20 10:23:12.846,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,135200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6709,2014-03-20 10:23:17.440,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.15,34800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6710,2014-03-20 10:23:19.793,*,*,*,*,*,*,*,*,*,*,*,*,76,958400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6711,2014-03-20 10:23:19.793,75.7,46400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6712,2014-03-20 10:23:19.915,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.2,62000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6713,2014-03-20 10:23:20.478,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.1,155600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6714,2014-03-20 10:23:20.478,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.15,35200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6715,2014-03-20 10:23:21.682,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.2,53200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6716,2014-03-20 10:23:21.682,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,144000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6717,2014-03-20 10:23:21.760,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,137600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6718,2014-03-20 10:23:24.060,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,145200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6719,2014-03-20 10:23:24.075,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,137600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6720,2014-03-20 10:23:24.076,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,141600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6721,2014-03-20 10:23:24.500,*,*,*,*,*,*,*,*,*,*,*,*,76,959200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6722,2014-03-20 10:23:24.820,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.15,35600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6723,2014-03-20 10:23:24.897,*,*,*,*,*,*,*,*,*,*,75.95,24400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6724,2014-03-20 10:23:24.897,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.05,156400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6725,2014-03-20 10:23:26.073,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.1,154800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6726,2014-03-20 10:23:26.073,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.15,36400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6727,2014-03-20 10:23:28.931,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,132800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6728,2014-03-20 10:23:28.931,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.2,62000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6729,2014-03-20 10:23:29.178,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.1,155200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6730,2014-03-20 10:23:29.315,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.15,34400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6731,2014-03-20 10:23:29.334,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.15,34000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6732,2014-03-20 10:23:29.475,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.2,62400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6733,2014-03-20 10:23:31.408,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.2,64400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6734,2014-03-20 10:23:34.874,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.2,63200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6735,2014-03-20 10:23:38.479,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,128800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6736,2014-03-20 10:23:38.480,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,130400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6737,2014-03-20 10:23:40.259,*,*,*,*,*,*,*,*,*,*,*,*,76,960800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6738,2014-03-20 10:23:40.284,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.05,156800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6739,2014-03-20 10:23:40.974,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.1,154800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6740,2014-03-20 10:23:41.865,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.1,154400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6741,2014-03-20 10:23:42.073,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.1,154000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6742,2014-03-20 10:23:42.460,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.15,33600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6743,2014-03-20 10:23:44.657,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.1,154400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6744,2014-03-20 10:23:45.387,75.7,47200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6745,2014-03-20 10:23:46.188,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.1,159200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6746,2014-03-20 10:23:46.486,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.15,34000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6747,2014-03-20 10:23:46.882,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.15,34400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6748,2014-03-20 10:23:47.085,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.15,34800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6749,2014-03-20 10:23:49.669,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.2,62800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6750,2014-03-20 10:23:51.456,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.2,66400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6751,2014-03-20 10:23:51.689,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.4,89600,*,*,*,*,*,*,*,*,*,*
6752,2014-03-20 10:23:51.689,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.2,69200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6753,2014-03-20 10:23:54.095,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.15,39600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6754,2014-03-20 10:23:54.095,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.1,154400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6755,2014-03-20 10:23:54.202,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.15,34800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6756,2014-03-20 10:23:54.203,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.15,38000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6757,2014-03-20 10:23:54.285,*,*,*,*,*,*,*,*,*,*,*,*,76,961200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6758,2014-03-20 10:23:54.300,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.15,34800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6759,2014-03-20 10:23:54.302,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.15,37200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6760,2014-03-20 10:23:56.597,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.15,34800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6761,2014-03-20 10:23:56.598,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.15,35600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6762,2014-03-20 10:23:56.708,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,128800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6763,2014-03-20 10:23:57.599,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.15,34800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6764,2014-03-20 10:23:57.599,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.1,159200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6765,2014-03-20 10:23:58.114,*,*,*,*,*,*,*,*,*,*,*,*,76,961600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6766,2014-03-20 10:23:58.516,*,*,*,*,*,*,*,*,*,*,*,*,76,962000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6767,2014-03-20 10:23:58.672,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.15,36400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6768,2014-03-20 10:24:01.350,*,*,*,*,*,*,*,*,*,*,*,*,76,952000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6769,2014-03-20 10:24:01.442,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,130400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6770,2014-03-20 10:24:03.815,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.1,154400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6771,2014-03-20 10:24:03.815,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.15,41200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6772,2014-03-20 10:24:06.013,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.15,36400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6773,2014-03-20 10:24:06.015,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.15,51200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6774,2014-03-20 10:24:08.684,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,134800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6775,2014-03-20 10:24:09.527,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.15,52000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6776,2014-03-20 10:24:10.821,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,128800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
6777,2014-03-20 10:24:10.822,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,132000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
