Seq_No	Time	Transaction_Price	Volume	Bid_Price	Bid_Size	Ask_Price	Ask_Size
44	2014-03-21 09:30:08.956	*	*	76.15	400	*	*
45	2014-03-21 09:30:08.969	*	*	*	*	76.2	9200
46	2014-03-21 09:30:08.969	76.15	400	*	*	*	*
47	2014-03-21 09:30:08.969	*	*	76.05	8400	*	*
48	2014-03-21 09:30:08.971	*	*	*	*	76.15	400
49	2014-03-21 09:30:09.004	76.15	400	*	*	*	*
50	2014-03-21 09:30:09.004	*	*	*	*	76.2	1200
51	2014-03-21 09:30:09.008	*	*	76.15	400	*	*
52	2014-03-21 09:30:09.045	*	*	76.05	7600	*	*
53	2014-03-21 09:30:09.178	*	*	76.15	800	*	*
54	2014-03-21 09:30:09.180	76.2	400	*	*	*	*
55	2014-03-21 09:30:09.180	76.2	800	*	*	*	*
56	2014-03-21 09:30:09.180	*	*	*	*	76.25	400
57	2014-03-21 09:30:09.184	*	*	76.2	1200	*	*
58	2014-03-21 09:30:09.185	76.2	1200	*	*	*	*
59	2014-03-21 09:30:09.185	*	*	76.15	800	*	*
60	2014-03-21 09:30:09.361	76.15	400	*	*	*	*
61	2014-03-21 09:30:09.361	*	*	76.15	400	*	*
62	2014-03-21 09:30:09.601	*	*	*	*	76.25	14800
63	2014-03-21 09:30:09.601	76.15	400	*	*	*	*
64	2014-03-21 09:30:09.601	*	*	76.05	7600	*	*
65	2014-03-21 09:30:09.603	*	*	*	*	76.25	36800
66	2014-03-21 09:30:09.613	*	*	*	*	76.25	37200
67	2014-03-21 09:30:10.486	76.25	400	*	*	*	*
68	2014-03-21 09:30:10.486	76.25	800	*	*	*	*
69	2014-03-21 09:30:10.486	*	*	*	*	76.25	36000
70	2014-03-21 09:30:11.523	*	*	*	*	76.25	45200
71	2014-03-21 09:30:11.527	76.05	1600	*	*	*	*
72	2014-03-21 09:30:11.527	*	*	76.05	6000	*	*
73	2014-03-21 09:30:11.530	*	*	*	*	76.25	23200
74	2014-03-21 09:30:11.531	*	*	*	*	76.2	22000
75	2014-03-21 09:30:11.536	*	*	76.05	2800	*	*
76	2014-03-21 09:30:11.550	*	*	*	*	76.2	22400
77	2014-03-21 09:30:11.561	*	*	*	*	76.2	400
78	2014-03-21 09:30:11.599	*	*	*	*	76.2	14000
79	2014-03-21 09:30:11.600	*	*	*	*	76.2	36000
80	2014-03-21 09:30:11.996	*	*	*	*	76.2	40000
81	2014-03-21 09:30:12.336	*	*	76.05	3600	*	*
82	2014-03-21 09:30:12.538	*	*	*	*	76.2	49200
83	2014-03-21 09:30:12.967	*	*	*	*	76.2	45200
84	2014-03-21 09:30:13.552	*	*	76.05	6800	*	*
85	2014-03-21 09:30:16.375	76.2	400	*	*	*	*
86	2014-03-21 09:30:16.375	76.2	800	*	*	*	*
87	2014-03-21 09:30:16.375	*	*	*	*	76.2	44000
88	2014-03-21 09:30:18.627	*	*	*	*	76.15	800
89	2014-03-21 09:30:18.629	76.15	800	*	*	*	*
90	2014-03-21 09:30:18.629	*	*	*	*	76.2	44000
91	2014-03-21 09:30:18.629	*	*	76.05	3600	*	*
92	2014-03-21 09:30:18.631	*	*	76.15	400	*	*
93	2014-03-21 09:30:18.634	76.15	400	*	*	*	*
94	2014-03-21 09:30:18.634	*	*	76.05	6800	*	*
95	2014-03-21 09:30:18.643	*	*	*	*	76.15	400
96	2014-03-21 09:30:18.646	*	*	76.05	3600	*	*
97	2014-03-21 09:30:18.646	*	*	*	*	76.15	800
98	2014-03-21 09:30:18.648	76.15	400	*	*	*	*
99	2014-03-21 09:30:18.648	*	*	*	*	76.15	400
100	2014-03-21 09:30:18.678	*	*	76.05	6800	*	*
101	2014-03-21 09:30:18.690	*	*	*	*	76.15	13200
102	2014-03-21 09:30:18.691	*	*	*	*	76.15	35200
103	2014-03-21 09:30:18.693	*	*	76.05	3600	*	*
104	2014-03-21 09:30:19.289	*	*	76.05	2800	*	*
105	2014-03-21 09:30:19.289	*	*	76.1	800	*	*
106	2014-03-21 09:30:19.302	76.1	800	*	*	*	*
107	2014-03-21 09:30:19.302	*	*	76.05	2800	*	*
108	2014-03-21 09:30:19.611	76.05	400	*	*	*	*
109	2014-03-21 09:30:19.611	*	*	76.05	2400	*	*
110	2014-03-21 09:30:19.615	*	*	76.05	22400	*	*
111	2014-03-21 09:30:19.662	*	*	*	*	76.15	34800
112	2014-03-21 09:30:21.225	76.05	400	*	*	*	*
113	2014-03-21 09:30:21.225	*	*	76.05	22000	*	*
114	2014-03-21 09:30:21.661	*	*	*	*	76.15	43200
115	2014-03-21 09:30:22.101	76.05	800	*	*	*	*
116	2014-03-21 09:30:22.101	76.05	1200	*	*	*	*
117	2014-03-21 09:30:22.101	76.05	13200	*	*	*	*
118	2014-03-21 09:30:22.101	*	*	76.05	6800	*	*
119	2014-03-21 09:30:22.679	*	*	*	*	76.15	40800
120	2014-03-21 09:30:22.683	*	*	*	*	76.1	2400
121	2014-03-21 09:30:22.685	76.1	2400	*	*	*	*
122	2014-03-21 09:30:22.685	*	*	*	*	76.15	40800
123	2014-03-21 09:30:23.472	76.15	2400	*	*	*	*
124	2014-03-21 09:30:23.472	*	*	*	*	76.15	38400
125	2014-03-21 09:30:25.073	76.15	1200	*	*	*	*
126	2014-03-21 09:30:25.073	*	*	*	*	76.15	37200
127	2014-03-21 09:30:28.072	76.15	1200	*	*	*	*
128	2014-03-21 09:30:28.072	*	*	*	*	76.15	36000
129	2014-03-21 09:30:29.710	*	*	*	*	76.15	14000
130	2014-03-21 09:30:32.288	*	*	*	*	76.15	35200
131	2014-03-21 09:30:33.492	76.15	400	*	*	*	*
132	2014-03-21 09:30:33.492	*	*	*	*	76.15	34800
