Seq_No	Time	Transaction_Price	Volume	Bid_Price	Bid_Size	Ask_Price	Ask_Size
137	2014-03-20 09:30:10.151	*	*	76.1	19600	*	*
138	2014-03-20 09:30:10.379	76.2	1600	*	*	*	*
139	2014-03-20 09:30:10.379	76.2	400	*	*	*	*
140	2014-03-20 09:30:10.379	*	*	*	*	76.2	6400
141	2014-03-20 09:30:10.661	*	*	*	*	76.2	6000
142	2014-03-20 09:30:11.207	76.2	800	*	*	*	*
143	2014-03-20 09:30:11.207	*	*	*	*	76.2	5200
144	2014-03-20 09:30:11.242	*	*	76.1	20000	*	*
145	2014-03-20 09:30:11.558	*	*	76.1	20400	*	*
146	2014-03-20 09:30:12.163	76.2	400	*	*	*	*
147	2014-03-20 09:30:12.163	*	*	*	*	76.2	4800
148	2014-03-20 09:30:13.068	76.2	400	*	*	*	*
149	2014-03-20 09:30:13.068	*	*	*	*	76.2	4400
150	2014-03-20 09:30:13.252	76.2	800	*	*	*	*
151	2014-03-20 09:30:13.252	76.2	400	*	*	*	*
152	2014-03-20 09:30:13.252	*	*	*	*	76.2	3200
153	2014-03-20 09:30:13.298	76.2	400	*	*	*	*
154	2014-03-20 09:30:13.298	*	*	*	*	76.2	2800
155	2014-03-20 09:30:13.357	76.2	2000	*	*	*	*
156	2014-03-20 09:30:13.357	*	*	*	*	76.2	800
157	2014-03-20 09:30:14.268	76.2	400	*	*	*	*
158	2014-03-20 09:30:14.268	*	*	*	*	76.2	400
159	2014-03-20 09:30:14.412	76.2	400	*	*	*	*
160	2014-03-20 09:30:14.412	76.25	800	*	*	*	*
161	2014-03-20 09:30:14.412	*	*	*	*	76.25	117200
162	2014-03-20 09:30:14.438	*	*	*	*	76.25	116800
163	2014-03-20 09:30:14.441	76.25	2400	*	*	*	*
164	2014-03-20 09:30:14.441	*	*	*	*	76.25	114400
165	2014-03-20 09:30:14.456	*	*	*	*	76.25	124800
166	2014-03-20 09:30:14.493	76.25	3200	*	*	*	*
167	2014-03-20 09:30:14.493	*	*	*	*	76.25	121600
168	2014-03-20 09:30:14.517	*	*	*	*	76.25	120400
169	2014-03-20 09:30:15.031	76.1	400	*	*	*	*
170	2014-03-20 09:30:15.031	*	*	76.1	20000	*	*
171	2014-03-20 09:30:15.173	76.1	4000	*	*	*	*
172	2014-03-20 09:30:15.173	76.1	4000	*	*	*	*
173	2014-03-20 09:30:15.173	*	*	76.1	12000	*	*
174	2014-03-20 09:30:15.190	76.1	400	*	*	*	*
175	2014-03-20 09:30:15.190	*	*	76.1	11600	*	*
176	2014-03-20 09:30:15.280	*	*	*	*	76.25	121600
177	2014-03-20 09:30:15.354	*	*	76.1	11200	*	*
178	2014-03-20 09:30:15.452	76.25	400	*	*	*	*
179	2014-03-20 09:30:15.452	*	*	*	*	76.25	121200
180	2014-03-20 09:30:16.439	*	*	*	*	76.25	110800
181	2014-03-20 09:30:16.452	*	*	*	*	76.25	108400
182	2014-03-20 09:30:16.455	76.25	800	*	*	*	*
183	2014-03-20 09:30:16.455	*	*	*	*	76.25	107600
184	2014-03-20 09:30:16.784	76.25	400	*	*	*	*
185	2014-03-20 09:30:16.784	*	*	*	*	76.25	107200
186	2014-03-20 09:30:17.306	76.25	1200	*	*	*	*
187	2014-03-20 09:30:17.306	*	*	*	*	76.25	106000
188	2014-03-20 09:30:17.319	76.25	400	*	*	*	*
189	2014-03-20 09:30:17.319	*	*	*	*	76.25	105600
190	2014-03-20 09:30:17.334	76.25	400	*	*	*	*
191	2014-03-20 09:30:17.334	*	*	*	*	76.25	105200
192	2014-03-20 09:30:17.443	76.25	1200	*	*	*	*
193	2014-03-20 09:30:17.443	*	*	*	*	76.25	104000
194	2014-03-20 09:30:17.443	76.25	400	*	*	*	*
195	2014-03-20 09:30:17.443	*	*	*	*	76.25	103600
196	2014-03-20 09:30:17.456	76.1	400	*	*	*	*
197	2014-03-20 09:30:17.456	*	*	76.1	10800	*	*
198	2014-03-20 09:30:17.498	*	*	*	*	76.25	102800
199	2014-03-20 09:30:17.950	76.25	400	*	*	*	*
200	2014-03-20 09:30:17.950	*	*	*	*	76.25	102400
201	2014-03-20 09:30:17.981	*	*	*	*	76.25	124800
202	2014-03-20 09:30:18.341	76.25	400	*	*	*	*
203	2014-03-20 09:30:18.341	*	*	*	*	76.25	124400
204	2014-03-20 09:30:18.380	76.25	1600	*	*	*	*
205	2014-03-20 09:30:18.380	*	*	*	*	76.25	122800
206	2014-03-20 09:30:18.400	76.25	400	*	*	*	*
207	2014-03-20 09:30:18.400	*	*	*	*	76.25	122400
208	2014-03-20 09:30:18.411	76.25	800	*	*	*	*
209	2014-03-20 09:30:18.411	*	*	*	*	76.25	121600
210	2014-03-20 09:30:18.424	76.1	400	*	*	*	*
211	2014-03-20 09:30:18.424	*	*	76.1	10400	*	*
212	2014-03-20 09:30:18.440	*	*	*	*	76.25	134800
213	2014-03-20 09:30:18.482	76.25	1200	*	*	*	*
214	2014-03-20 09:30:18.482	*	*	*	*	76.25	133600
215	2014-03-20 09:30:18.887	76.25	10000	*	*	*	*
216	2014-03-20 09:30:18.887	*	*	*	*	76.25	123600
217	2014-03-20 09:30:18.899	76.1	1200	*	*	*	*
218	2014-03-20 09:30:18.899	*	*	76.1	9200	*	*
219	2014-03-20 09:30:19.032	*	*	*	*	76.2	800
220	2014-03-20 09:30:19.408	76.2	800	*	*	*	*
221	2014-03-20 09:30:19.408	*	*	*	*	76.25	113200
222	2014-03-20 09:30:19.412	76.25	800	*	*	*	*
223	2014-03-20 09:30:19.412	*	*	*	*	76.25	112400
224	2014-03-20 09:30:19.437	*	*	*	*	76.25	121600
225	2014-03-20 09:30:19.790	76.25	400	*	*	*	*
226	2014-03-20 09:30:19.790	*	*	*	*	76.25	121200
227	2014-03-20 09:30:19.958	76.25	400	*	*	*	*
228	2014-03-20 09:30:19.958	*	*	*	*	76.25	120800
229	2014-03-20 09:30:20.312	76.25	10000	*	*	*	*
230	2014-03-20 09:30:20.312	*	*	*	*	76.25	110800
231	2014-03-20 09:30:20.331	76.1	1200	*	*	*	*
232	2014-03-20 09:30:20.331	*	*	76.1	8000	*	*
233	2014-03-20 09:30:20.335	76.25	400	*	*	*	*
234	2014-03-20 09:30:20.335	*	*	*	*	76.25	110400
235	2014-03-20 09:30:20.391	76.25	400	*	*	*	*
236	2014-03-20 09:30:20.391	*	*	*	*	76.25	110000
237	2014-03-20 09:30:21.386	*	*	76.2	400	*	*
238	2014-03-20 09:30:21.387	76.2	400	*	*	*	*
239	2014-03-20 09:30:21.387	*	*	76.1	8000	*	*
240	2014-03-20 09:30:21.388	*	*	*	*	76.2	400
241	2014-03-20 09:30:21.391	*	*	76.1	7600	*	*
242	2014-03-20 09:30:21.393	76.2	400	*	*	*	*
243	2014-03-20 09:30:21.393	76.25	400	*	*	*	*
244	2014-03-20 09:30:21.393	*	*	*	*	76.25	109600
245	2014-03-20 09:30:21.400	76.1	400	*	*	*	*
246	2014-03-20 09:30:21.400	*	*	76.1	7200	*	*
247	2014-03-20 09:30:21.407	*	*	*	*	76.25	100400
248	2014-03-20 09:30:21.453	*	*	*	*	76.25	108400
249	2014-03-20 09:30:21.477	76.25	800	*	*	*	*
250	2014-03-20 09:30:21.477	*	*	*	*	76.25	107600
251	2014-03-20 09:30:21.920	76.25	400	*	*	*	*
252	2014-03-20 09:30:21.920	*	*	*	*	76.25	107200
253	2014-03-20 09:30:22.255	*	*	76.1	6800	*	*
254	2014-03-20 09:30:22.255	*	*	76.1	6400	*	*
255	2014-03-20 09:30:22.259	76.25	800	*	*	*	*
256	2014-03-20 09:30:22.259	*	*	*	*	76.25	106400
257	2014-03-20 09:30:22.352	76.25	400	*	*	*	*
258	2014-03-20 09:30:22.352	*	*	*	*	76.25	106000
259	2014-03-20 09:30:22.399	76.25	800	*	*	*	*
260	2014-03-20 09:30:22.399	*	*	*	*	76.25	105200
261	2014-03-20 09:30:22.409	76.1	400	*	*	*	*
262	2014-03-20 09:30:22.409	*	*	76.1	6000	*	*
263	2014-03-20 09:30:23.271	*	*	76.1	6800	*	*
264	2014-03-20 09:30:23.402	76.25	400	*	*	*	*
265	2014-03-20 09:30:23.402	*	*	*	*	76.25	104800
266	2014-03-20 09:30:23.602	*	*	*	*	76.25	104400
267	2014-03-20 09:30:24.206	76.25	400	*	*	*	*
268	2014-03-20 09:30:24.206	*	*	*	*	76.25	104000
269	2014-03-20 09:30:24.284	*	*	76.1	6000	*	*
270	2014-03-20 09:30:24.286	*	*	76.15	800	*	*
271	2014-03-20 09:30:24.406	76.25	800	*	*	*	*
272	2014-03-20 09:30:24.406	*	*	*	*	76.25	103200
273	2014-03-20 09:30:24.675	*	*	76.15	2000	*	*
274	2014-03-20 09:30:24.702	76.15	800	*	*	*	*
275	2014-03-20 09:30:24.702	*	*	76.15	1200	*	*
276	2014-03-20 09:30:24.820	76.25	1600	*	*	*	*
277	2014-03-20 09:30:24.820	*	*	*	*	76.25	101600
278	2014-03-20 09:30:24.864	76.25	400	*	*	*	*
279	2014-03-20 09:30:24.864	*	*	*	*	76.25	101200
280	2014-03-20 09:30:24.910	76.15	400	*	*	*	*
281	2014-03-20 09:30:24.910	*	*	76.15	800	*	*
282	2014-03-20 09:30:24.951	76.25	1200	*	*	*	*
283	2014-03-20 09:30:24.951	*	*	*	*	76.25	100000
284	2014-03-20 09:30:25.295	76.25	2400	*	*	*	*
285	2014-03-20 09:30:25.295	*	*	*	*	76.25	97600
286	2014-03-20 09:30:25.307	76.15	400	*	*	*	*
287	2014-03-20 09:30:25.307	*	*	76.15	400	*	*
288	2014-03-20 09:30:25.341	76.25	1600	*	*	*	*
289	2014-03-20 09:30:25.341	*	*	*	*	76.25	96000
290	2014-03-20 09:30:25.366	76.25	400	*	*	*	*
291	2014-03-20 09:30:25.366	*	*	*	*	76.25	95600
292	2014-03-20 09:30:25.399	*	*	76.2	800	*	*
293	2014-03-20 09:30:25.439	*	*	*	*	76.25	94400
294	2014-03-20 09:30:25.456	76.25	1200	*	*	*	*
295	2014-03-20 09:30:25.456	*	*	*	*	76.25	93200
296	2014-03-20 09:30:25.468	76.2	400	*	*	*	*
297	2014-03-20 09:30:25.468	*	*	76.2	400	*	*
298	2014-03-20 09:30:25.470	76.2	400	*	*	*	*
299	2014-03-20 09:30:25.470	*	*	76.15	400	*	*
300	2014-03-20 09:30:25.821	76.25	800	*	*	*	*
301	2014-03-20 09:30:25.821	*	*	*	*	76.25	92400
302	2014-03-20 09:30:26.187	76.25	400	*	*	*	*
303	2014-03-20 09:30:26.187	*	*	*	*	76.25	92000
304	2014-03-20 09:30:26.376	*	*	76.2	400	*	*
305	2014-03-20 09:30:26.394	76.25	800	*	*	*	*
306	2014-03-20 09:30:26.394	*	*	*	*	76.25	91200
307	2014-03-20 09:30:26.425	76.25	400	*	*	*	*
308	2014-03-20 09:30:26.425	*	*	*	*	76.25	90800
309	2014-03-20 09:30:26.432	76.25	800	*	*	*	*
310	2014-03-20 09:30:26.432	*	*	*	*	76.25	90000
311	2014-03-20 09:30:26.453	76.25	400	*	*	*	*
312	2014-03-20 09:30:26.453	*	*	*	*	76.25	89600
313	2014-03-20 09:30:26.540	76.25	400	*	*	*	*
314	2014-03-20 09:30:26.540	*	*	*	*	76.25	89200
315	2014-03-20 09:30:26.549	76.25	400	*	*	*	*
316	2014-03-20 09:30:26.549	*	*	*	*	76.25	88800
317	2014-03-20 09:30:26.803	76.25	2000	*	*	*	*
318	2014-03-20 09:30:26.803	*	*	*	*	76.25	86800
319	2014-03-20 09:30:26.834	76.25	800	*	*	*	*
320	2014-03-20 09:30:26.834	*	*	*	*	76.25	86000
321	2014-03-20 09:30:26.847	76.25	400	*	*	*	*
322	2014-03-20 09:30:26.847	*	*	*	*	76.25	85600
323	2014-03-20 09:30:26.952	76.25	400	*	*	*	*
324	2014-03-20 09:30:26.952	*	*	*	*	76.25	85200
325	2014-03-20 09:30:27.443	*	*	*	*	76.25	84400
326	2014-03-20 09:30:27.455	76.25	400	*	*	*	*
327	2014-03-20 09:30:27.455	*	*	*	*	76.25	84000
328	2014-03-20 09:30:27.464	*	*	76.2	800	*	*
329	2014-03-20 09:30:27.468	76.25	400	*	*	*	*
330	2014-03-20 09:30:27.468	*	*	*	*	76.25	83600
331	2014-03-20 09:30:27.490	76.25	800	*	*	*	*
332	2014-03-20 09:30:27.490	*	*	*	*	76.25	82800
333	2014-03-20 09:30:27.517	76.25	400	*	*	*	*
334	2014-03-20 09:30:27.517	*	*	*	*	76.25	82400
335	2014-03-20 09:30:27.556	*	*	76.2	1200	*	*
336	2014-03-20 09:30:27.596	76.25	1200	*	*	*	*
337	2014-03-20 09:30:27.596	*	*	*	*	76.25	81200
338	2014-03-20 09:30:27.607	76.25	400	*	*	*	*
339	2014-03-20 09:30:27.607	*	*	*	*	76.25	80800
340	2014-03-20 09:30:27.681	*	*	*	*	76.25	120800
341	2014-03-20 09:30:27.756	76.25	800	*	*	*	*
342	2014-03-20 09:30:27.756	*	*	*	*	76.25	120000
343	2014-03-20 09:30:27.811	76.25	1200	*	*	*	*
344	2014-03-20 09:30:27.811	*	*	*	*	76.25	118800
345	2014-03-20 09:30:28.283	76.25	400	*	*	*	*
346	2014-03-20 09:30:28.283	*	*	*	*	76.25	118400
347	2014-03-20 09:30:28.323	76.25	400	*	*	*	*
348	2014-03-20 09:30:28.323	*	*	*	*	76.25	118000
349	2014-03-20 09:30:28.343	76.25	400	*	*	*	*
350	2014-03-20 09:30:28.343	*	*	*	*	76.25	117600
351	2014-03-20 09:30:28.380	76.25	400	*	*	*	*
352	2014-03-20 09:30:28.380	*	*	*	*	76.25	117200
353	2014-03-20 09:30:28.492	76.25	400	*	*	*	*
354	2014-03-20 09:30:28.492	*	*	*	*	76.25	116800
355	2014-03-20 09:30:28.511	76.25	400	*	*	*	*
356	2014-03-20 09:30:28.511	*	*	*	*	76.25	116400
357	2014-03-20 09:30:28.512	76.25	400	*	*	*	*
358	2014-03-20 09:30:28.512	*	*	*	*	76.25	116000
359	2014-03-20 09:30:28.517	76.25	4000	*	*	*	*
360	2014-03-20 09:30:28.517	*	*	*	*	76.25	112000
361	2014-03-20 09:30:28.539	*	*	76.2	2400	*	*
362	2014-03-20 09:30:28.679	76.2	400	*	*	*	*
363	2014-03-20 09:30:28.679	76.2	400	*	*	*	*
364	2014-03-20 09:30:28.679	76.2	400	*	*	*	*
365	2014-03-20 09:30:28.679	76.2	1200	*	*	*	*
366	2014-03-20 09:30:28.679	*	*	76.15	400	*	*
367	2014-03-20 09:30:28.740	76.25	800	*	*	*	*
368	2014-03-20 09:30:28.740	*	*	*	*	76.25	111200
369	2014-03-20 09:30:28.745	76.25	800	*	*	*	*
370	2014-03-20 09:30:28.745	*	*	*	*	76.25	110400
371	2014-03-20 09:30:28.842	76.25	2000	*	*	*	*
372	2014-03-20 09:30:28.842	*	*	*	*	76.25	108400
373	2014-03-20 09:30:28.865	76.25	800	*	*	*	*
374	2014-03-20 09:30:28.865	*	*	*	*	76.25	107600
375	2014-03-20 09:30:28.884	76.25	400	*	*	*	*
376	2014-03-20 09:30:28.884	*	*	*	*	76.25	107200
377	2014-03-20 09:30:29.245	*	*	76.2	400	*	*
378	2014-03-20 09:30:29.402	76.25	1600	*	*	*	*
379	2014-03-20 09:30:29.402	*	*	*	*	76.25	105600
380	2014-03-20 09:30:29.403	76.25	400	*	*	*	*
381	2014-03-20 09:30:29.403	*	*	*	*	76.25	105200
382	2014-03-20 09:30:29.437	76.25	400	*	*	*	*
383	2014-03-20 09:30:29.437	*	*	*	*	76.25	104800
384	2014-03-20 09:30:29.479	76.25	800	*	*	*	*
385	2014-03-20 09:30:29.479	*	*	*	*	76.25	104000
386	2014-03-20 09:30:29.493	76.25	400	*	*	*	*
387	2014-03-20 09:30:29.493	*	*	*	*	76.25	103600
388	2014-03-20 09:30:29.514	76.25	1200	*	*	*	*
389	2014-03-20 09:30:29.514	*	*	*	*	76.25	102400
390	2014-03-20 09:30:29.740	76.25	2000	*	*	*	*
391	2014-03-20 09:30:29.740	*	*	*	*	76.25	100400
392	2014-03-20 09:30:30.128	76.2	400	*	*	*	*
393	2014-03-20 09:30:30.128	*	*	76.15	400	*	*
394	2014-03-20 09:30:30.322	76.25	400	*	*	*	*
395	2014-03-20 09:30:30.322	*	*	*	*	76.25	100000
396	2014-03-20 09:30:30.359	76.25	400	*	*	*	*
397	2014-03-20 09:30:30.359	*	*	*	*	76.25	99600
398	2014-03-20 09:30:30.440	76.25	2000	*	*	*	*
399	2014-03-20 09:30:30.440	*	*	*	*	76.25	97600
400	2014-03-20 09:30:30.462	76.25	1200	*	*	*	*
401	2014-03-20 09:30:30.462	*	*	*	*	76.25	96400
402	2014-03-20 09:30:30.630	76.25	400	*	*	*	*
403	2014-03-20 09:30:30.630	*	*	*	*	76.25	96000
404	2014-03-20 09:30:30.636	76.15	400	*	*	*	*
405	2014-03-20 09:30:30.636	76.1	800	*	*	*	*
406	2014-03-20 09:30:30.636	*	*	76.1	29200	*	*
407	2014-03-20 09:30:30.892	*	*	76.2	400	*	*
408	2014-03-20 09:30:31.377	76.25	400	*	*	*	*
409	2014-03-20 09:30:31.377	*	*	*	*	76.25	95600
410	2014-03-20 09:30:31.406	76.25	400	*	*	*	*
411	2014-03-20 09:30:31.406	*	*	*	*	76.25	95200
412	2014-03-20 09:30:31.455	*	*	76.2	800	*	*
413	2014-03-20 09:30:31.461	76.25	400	*	*	*	*
414	2014-03-20 09:30:31.461	*	*	*	*	76.25	94800
415	2014-03-20 09:30:31.515	76.25	1200	*	*	*	*
416	2014-03-20 09:30:31.515	*	*	*	*	76.25	93600
417	2014-03-20 09:30:31.977	*	*	76.2	1200	*	*
418	2014-03-20 09:30:32.033	*	*	76.2	7200	*	*
419	2014-03-20 09:30:32.386	76.25	400	*	*	*	*
420	2014-03-20 09:30:32.386	*	*	*	*	76.25	93200
421	2014-03-20 09:30:32.408	76.25	400	*	*	*	*
422	2014-03-20 09:30:32.408	*	*	*	*	76.25	92800
423	2014-03-20 09:30:32.452	76.25	400	*	*	*	*
424	2014-03-20 09:30:32.452	*	*	*	*	76.25	92400
425	2014-03-20 09:30:32.492	76.25	6000	*	*	*	*
426	2014-03-20 09:30:32.492	*	*	*	*	76.25	86400
427	2014-03-20 09:30:33.360	76.25	800	*	*	*	*
428	2014-03-20 09:30:33.360	*	*	*	*	76.25	85600
429	2014-03-20 09:30:33.458	76.25	400	*	*	*	*
430	2014-03-20 09:30:33.458	*	*	*	*	76.25	85200
431	2014-03-20 09:30:33.509	76.25	400	*	*	*	*
432	2014-03-20 09:30:33.509	*	*	*	*	76.25	84800
433	2014-03-20 09:30:33.540	*	*	76.2	8000	*	*
434	2014-03-20 09:30:33.607	76.25	2000	*	*	*	*
435	2014-03-20 09:30:33.607	*	*	*	*	76.25	82800
436	2014-03-20 09:30:33.684	76.25	400	*	*	*	*
437	2014-03-20 09:30:33.684	*	*	*	*	76.25	82400
438	2014-03-20 09:30:33.818	76.25	400	*	*	*	*
439	2014-03-20 09:30:33.818	76.25	400	*	*	*	*
