Seq_No	Time	Transaction_Price	Volume	Bid_Price	Bid_Size	Ask_Price	Ask_Size
1	2014-03-20 09:20:00.163	*	*	76.2	15200	76.25	24000
2	2014-03-20 09:30:00.065	*	*	*	*	76.25	27200
3	2014-03-20 09:30:00.112	76.2	400	*	*	*	*
4	2014-03-20 09:30:00.112	76.2	800	*	*	*	*
5	2014-03-20 09:30:00.112	76.2	400	*	*	*	*
6	2014-03-20 09:30:00.112	76.2	800	*	*	*	*
7	2014-03-20 09:30:00.112	76.2	400	*	*	*	*
8	2014-03-20 09:30:00.112	76.2	400	*	*	*	*
9	2014-03-20 09:30:00.112	76.2	400	*	*	*	*
10	2014-03-20 09:30:00.112	76.2	400	*	*	*	*
11	2014-03-20 09:30:00.112	76.2	400	*	*	*	*
12	2014-03-20 09:30:00.112	76.2	400	*	*	*	*
13	2014-03-20 09:30:00.112	76.2	800	*	*	*	*
14	2014-03-20 09:30:00.112	*	*	76.2	9600	*	*
15	2014-03-20 09:30:00.138	76.2	9200	*	*	*	*
16	2014-03-20 09:30:00.138	76.2	400	*	*	*	*
17	2014-03-20 09:30:00.138	*	*	76.15	400	*	*
18	2014-03-20 09:30:00.299	*	*	76.2	400	*	*
19	2014-03-20 09:30:00.362	76.25	800	*	*	*	*
20	2014-03-20 09:30:00.362	*	*	*	*	76.25	26400
21	2014-03-20 09:30:00.771	76.2	400	*	*	*	*
22	2014-03-20 09:30:00.771	*	*	76.15	5600	76.2	400
23	2014-03-20 09:30:00.779	76.2	400	*	*	*	*
24	2014-03-20 09:30:00.779	*	*	*	*	76.25	26400
25	2014-03-20 09:30:00.791	76.25	400	*	*	*	*
26	2014-03-20 09:30:00.791	*	*	*	*	76.25	26000
27	2014-03-20 09:30:00.850	76.25	400	*	*	*	*
28	2014-03-20 09:30:00.850	*	*	*	*	76.25	25600
29	2014-03-20 09:30:01.035	*	*	*	*	76.25	47600
30	2014-03-20 09:30:01.275	*	*	76.15	6400	*	*
31	2014-03-20 09:30:01.439	*	*	76.2	32400	*	*
32	2014-03-20 09:30:01.614	*	*	*	*	76.25	51200
33	2014-03-20 09:30:02.104	*	*	*	*	76.25	151200
34	2014-03-20 09:30:02.197	76.2	5600	*	*	*	*
35	2014-03-20 09:30:02.197	*	*	76.2	26800	*	*
36	2014-03-20 09:30:02.252	*	*	*	*	76.25	153200
37	2014-03-20 09:30:02.255	76.2	2800	*	*	*	*
38	2014-03-20 09:30:02.255	*	*	76.2	24000	*	*
39	2014-03-20 09:30:02.338	*	*	*	*	76.25	156000
40	2014-03-20 09:30:02.383	76.25	400	*	*	*	*
41	2014-03-20 09:30:02.383	*	*	*	*	76.25	155600
42	2014-03-20 09:30:02.386	*	*	*	*	76.25	155200
43	2014-03-20 09:30:02.459	76.2	24000	*	*	*	*
44	2014-03-20 09:30:02.459	*	*	76.15	6400	76.2	8400
45	2014-03-20 09:30:02.617	*	*	*	*	76.2	30400
46	2014-03-20 09:30:02.671	76.2	1200	*	*	*	*
47	2014-03-20 09:30:02.671	*	*	*	*	76.2	29200
48	2014-03-20 09:30:02.690	*	*	*	*	76.2	28800
49	2014-03-20 09:30:03.082	*	*	*	*	76.2	50800
50	2014-03-20 09:30:03.137	*	*	76.15	5600	*	*
51	2014-03-20 09:30:03.192	*	*	*	*	76.2	44000
52	2014-03-20 09:30:03.308	*	*	*	*	76.2	47200
53	2014-03-20 09:30:03.339	*	*	*	*	76.2	50000
54	2014-03-20 09:30:03.352	76.2	800	*	*	*	*
55	2014-03-20 09:30:03.352	*	*	*	*	76.2	49200
56	2014-03-20 09:30:03.371	76.2	400	*	*	*	*
57	2014-03-20 09:30:03.371	*	*	*	*	76.2	48800
58	2014-03-20 09:30:03.833	*	*	*	*	76.2	50000
59	2014-03-20 09:30:03.835	76.15	400	*	*	*	*
60	2014-03-20 09:30:03.835	76.15	1200	*	*	*	*
61	2014-03-20 09:30:03.835	*	*	76.15	4000	*	*
62	2014-03-20 09:30:04.041	76.2	7600	*	*	*	*
63	2014-03-20 09:30:04.041	*	*	*	*	76.2	42400
64	2014-03-20 09:30:04.265	76.2	400	*	*	*	*
65	2014-03-20 09:30:04.265	*	*	*	*	76.2	42000
66	2014-03-20 09:30:04.320	*	*	*	*	76.2	42800
67	2014-03-20 09:30:04.322	*	*	*	*	76.2	45200
68	2014-03-20 09:30:04.342	76.2	400	*	*	*	*
69	2014-03-20 09:30:04.342	*	*	*	*	76.2	44800
70	2014-03-20 09:30:04.355	76.2	400	*	*	*	*
71	2014-03-20 09:30:04.355	*	*	*	*	76.2	44400
72	2014-03-20 09:30:04.378	76.2	2000	*	*	*	*
73	2014-03-20 09:30:04.378	*	*	*	*	76.2	42400
74	2014-03-20 09:30:04.400	76.2	2000	*	*	*	*
75	2014-03-20 09:30:04.400	*	*	*	*	76.2	40400
76	2014-03-20 09:30:04.402	*	*	*	*	76.2	32400
77	2014-03-20 09:30:04.402	*	*	*	*	76.2	31200
78	2014-03-20 09:30:04.492	*	*	*	*	76.2	33600
79	2014-03-20 09:30:04.725	*	*	*	*	76.2	33200
80	2014-03-20 09:30:05.066	76.2	2000	*	*	*	*
81	2014-03-20 09:30:05.066	*	*	*	*	76.2	31200
82	2014-03-20 09:30:05.103	76.15	1600	*	*	*	*
83	2014-03-20 09:30:05.103	*	*	76.15	2400	*	*
84	2014-03-20 09:30:05.169	*	*	76.15	3600	*	*
85	2014-03-20 09:30:05.174	76.2	400	*	*	*	*
86	2014-03-20 09:30:05.174	*	*	*	*	76.2	30800
87	2014-03-20 09:30:05.266	*	*	*	*	76.2	34400
88	2014-03-20 09:30:05.276	76.2	2000	*	*	*	*
89	2014-03-20 09:30:05.276	*	*	*	*	76.2	32400
90	2014-03-20 09:30:05.325	76.15	2000	*	*	*	*
91	2014-03-20 09:30:05.325	76.15	400	*	*	*	*
92	2014-03-20 09:30:05.325	76.15	1200	*	*	*	*
93	2014-03-20 09:30:05.325	*	*	76.1	19200	*	*
94	2014-03-20 09:30:05.573	76.2	15600	*	*	*	*
95	2014-03-20 09:30:05.573	*	*	*	*	76.2	16800
96	2014-03-20 09:30:05.749	76.1	1600	*	*	*	*
97	2014-03-20 09:30:05.749	*	*	76.1	17600	*	*
98	2014-03-20 09:30:05.754	*	*	*	*	76.2	15600
99	2014-03-20 09:30:05.814	76.2	2000	*	*	*	*
100	2014-03-20 09:30:05.814	76.2	2000	*	*	*	*
101	2014-03-20 09:30:05.814	*	*	*	*	76.2	11600
102	2014-03-20 09:30:05.832	76.2	400	*	*	*	*
103	2014-03-20 09:30:05.832	*	*	*	*	76.2	11200
104	2014-03-20 09:30:05.841	*	*	*	*	76.2	14000
105	2014-03-20 09:30:05.849	76.2	400	*	*	*	*
106	2014-03-20 09:30:05.849	*	*	*	*	76.2	13600
107	2014-03-20 09:30:05.909	*	*	76.15	400	*	*
108	2014-03-20 09:30:06.114	76.2	400	*	*	*	*
109	2014-03-20 09:30:06.114	76.2	400	*	*	*	*
110	2014-03-20 09:30:06.114	*	*	*	*	76.2	12800
111	2014-03-20 09:30:06.287	76.2	1200	*	*	*	*
112	2014-03-20 09:30:06.287	*	*	*	*	76.2	11600
113	2014-03-20 09:30:06.630	*	*	*	*	76.2	9200
114	2014-03-20 09:30:06.847	76.2	800	*	*	*	*
115	2014-03-20 09:30:06.847	*	*	*	*	76.2	8400
116	2014-03-20 09:30:07.020	*	*	*	*	76.2	11600
117	2014-03-20 09:30:07.182	*	*	76.15	800	*	*
118	2014-03-20 09:30:07.800	76.2	400	*	*	*	*
119	2014-03-20 09:30:07.800	*	*	*	*	76.2	11200
120	2014-03-20 09:30:08.280	76.2	400	*	*	*	*
121	2014-03-20 09:30:08.280	*	*	*	*	76.2	10800
122	2014-03-20 09:30:08.339	76.2	400	*	*	*	*
123	2014-03-20 09:30:08.339	76.2	800	*	*	*	*
124	2014-03-20 09:30:08.339	76.2	400	*	*	*	*
125	2014-03-20 09:30:08.339	*	*	*	*	76.2	9200
126	2014-03-20 09:30:08.630	*	*	*	*	76.2	10000
127	2014-03-20 09:30:08.784	76.2	400	*	*	*	*
128	2014-03-20 09:30:08.784	*	*	*	*	76.2	9600
129	2014-03-20 09:30:08.893	76.2	400	*	*	*	*
130	2014-03-20 09:30:08.893	*	*	*	*	76.2	9200
131	2014-03-20 09:30:09.118	*	*	76.15	1200	*	*
132	2014-03-20 09:30:09.202	76.2	800	*	*	*	*
133	2014-03-20 09:30:09.202	*	*	*	*	76.2	8400
134	2014-03-20 09:30:10.151	76.15	400	*	*	*	*
135	2014-03-20 09:30:10.151	76.15	400	*	*	*	*
136	2014-03-20 09:30:10.151	76.15	400	*	*	*	*
